x,Q2,fu,fd,fs,fubar,fdbar,fsbar
0.20151515151515154,1.8,0.6304163658123763,0.3410404127691334,0.03549586785666012,0.04387568501733177,0.07075416256604573,0.014596686721471672
0.20404040404040408,1.8,0.6304262537534869,0.33930208075616036,0.03498390584577087,0.04281768823635169,0.06912378508829108,0.014231392143070955
0.20656565656565656,1.8,0.6303550091436733,0.3375309518404274,0.034474596044492586,0.04177521515279088,0.06751538685909035,0.013875630876269807
0.2090909090909091,1.8,0.6302023065404928,0.3357277745892409,0.03396804207657778,0.04074836940168487,0.065929457258903,0.013529090914188316
0.21161616161616165,1.8,0.6299662620105507,0.33389344295184986,0.033464492583434986,0.039737656489535,0.06436738549859015,0.013191410376648666
0.21414141414141413,1.8,0.62964988717597,0.33202817761139186,0.032963667924683325,0.03874227097575501,0.06282773503403635,0.012862442662894122
0.21666666666666667,1.8,0.6292532726164901,0.3301330833552437,0.0324657784438857,0.03776244982333083,0.06131113749711928,0.012541957016907574
0.21919191919191922,1.8,0.6287753779324706,0.32820942888980115,0.031971162541260784,0.0367987467892315,0.05981889489787208,0.012229682676467901
0.22171717171717176,1.8,0.6282189924260769,0.32625727102418567,0.03147950330381459,0.035850347323059764,0.05834959799397913,0.011925477397544744
0.22424242424242424,1.8,0.627584085361657,0.32427766454669826,0.030991044418066226,0.03491752450399957,0.05690384978433933,0.011629146257378207
0.22676767676767678,1.8,0.6268698192418304,0.32227188739043106,0.03050616427718245,0.03400083465458768,0.05548280457493531,0.011340478960840731
0.22929292929292933,1.8,0.6260786753850898,0.3202398740881313,0.030024547233531956,0.03309950277670663,0.054085143710402614,0.011059360320330548
0.2318181818181818,1.8,0.6252108970232718,0.31818269204765415,0.02954640116348237,0.0322137485180673,0.052711354475765373,0.010785576435917836
0.23434343434343435,1.8,0.6242660842315744,0.31610163376266287,0.029072057092435905,0.03134403966569725,0.05136238640958204,0.010518896953381414
0.2368686868686869,1.8,0.6232464052476234,0.3139964822988825,0.028601177798238127,0.03048962663893691,0.05003700058144625,0.010259208006207547
0.23939393939393944,1.8,0.6221522554750577,0.3118684002451954,0.028134028888914944,0.02965075431086849,0.04873564505816796,0.010006361917241482
